severity,message
blocking,data/interim/pilot_search_log.csv has no populated rows (database + search_id). No real search has been logged yet.
info,"(database=wos, search_id=core) not in search log — not part of this pilot run, not blocking."
info,"(database=wos, search_id=module02) not in search log — not part of this pilot run, not blocking."
info,"(database=wos, search_id=module03) not in search log — not part of this pilot run, not blocking."
info,"(database=wos, search_id=module04) not in search log — not part of this pilot run, not blocking."
info,"(database=wos, search_id=module05) not in search log — not part of this pilot run, not blocking."
info,"(database=wos, search_id=module06) not in search log — not part of this pilot run, not blocking."
info,"(database=wos, search_id=module07) not in search log — not part of this pilot run, not blocking."
info,"(database=wos, search_id=module08) not in search log — not part of this pilot run, not blocking."
info,"(database=scopus, search_id=core) not in search log — not part of this pilot run, not blocking."
info,"(database=scopus, search_id=module02) not in search log — not part of this pilot run, not blocking."
info,"(database=scopus, search_id=module03) not in search log — not part of this pilot run, not blocking."
info,"(database=scopus, search_id=module04) not in search log — not part of this pilot run, not blocking."
info,"(database=scopus, search_id=module05) not in search log — not part of this pilot run, not blocking."
info,"(database=scopus, search_id=module06) not in search log — not part of this pilot run, not blocking."
info,"(database=scopus, search_id=module07) not in search log — not part of this pilot run, not blocking."
info,"(database=scopus, search_id=module08) not in search log — not part of this pilot run, not blocking."
info,"(database=pubmed, search_id=core) not in search log — not part of this pilot run, not blocking."
info,"(database=pubmed, search_id=module02) not in search log — not part of this pilot run, not blocking."
info,"(database=pubmed, search_id=module03) not in search log — not part of this pilot run, not blocking."
info,"(database=pubmed, search_id=module04) not in search log — not part of this pilot run, not blocking."
info,"(database=pubmed, search_id=module05) not in search log — not part of this pilot run, not blocking."
info,"(database=pubmed, search_id=module06) not in search log — not part of this pilot run, not blocking."
info,"(database=pubmed, search_id=module07) not in search log — not part of this pilot run, not blocking."
info,"(database=pubmed, search_id=module08) not in search log — not part of this pilot run, not blocking."
blocking,"Pilot combination (database=pubmed, search_id=core) has no corresponding row in data/interim/pilot_search_log.csv."
blocking,"Pilot combination (database=scopus, search_id=module05) has no corresponding row in data/interim/pilot_search_log.csv."
blocking,"Pilot combination (database=wos, search_id=module02) has no corresponding row in data/interim/pilot_search_log.csv."
